Fields group,Management of the resource,,,,,,,,,,,Authority list of collections,,,,,,,,,,,
,,,,,,,,,,,,,,,Responsibility ,,,,,,,,
Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the collection,Name of the collection,Type of collection,Authority responsible of the collection,Name of the institution,Person responsible ,Name of the place,ID of the place,Date notBefore,History of the collection,Remarks,Bibliographical references
Description of the fields,"Identifier of the collection. 
 Syntax: COL00001 (according to the DHARMA FNC)",Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the collection. 
 Syntax: COL00001 (according to the DHARMA FNC)",Name of the collection,Type of collection (public or private),,,Person responsible of the collection (fonction or private person),normalized syntax,,Begining of activity,Description of what is known or recorded about the origin and subsequent history of the place (free text),Remarks on collection-related metadata (free text),
,COL00001,,,emfr,2021-10-28,,,,,DHARMA,CC0,COL00001,,,,,,,,,,,
,COL00002,,,emfr,2021-10-28,,,,,DHARMA,CC0,COL00002,,,,,,,,,,,
,COL00003,,,,,,,,,DHARMA,CC0,COL00003,,,,,,,,,,,
,COL00004,,,,,,,,,DHARMA,CC0,COL00004,,,,,,,,,,,
,COL00005,,,,,,,,,DHARMA,CC0,COL00005,,,,,,,,,,,
,COL00006,,,,,,,,,DHARMA,CC0,COL00006,,,,,,,,,,,
,COL00007,,,,,,,,,DHARMA,CC0,COL00007,,,,,,,,,,,
,COL00008,,,,,,,,,DHARMA,CC0,COL00008,,,,,,,,,,,
,COL00009,,,,,,,,,DHARMA,CC0,COL00009,,,,,,,,,,,
,COL00010,,,,,,,,,DHARMA,CC0,COL00010,,,,,,,,,,,
,COL00011,,,,,,,,,DHARMA,CC0,COL00011,,,,,,,,,,,
,COL00012,,,,,,,,,DHARMA,CC0,COL00012,,,,,,,,,,,
,COL00013,,,,,,,,,DHARMA,CC0,COL00013,,,,,,,,,,,
,COL00014,,,,,,,,,DHARMA,CC0,COL00014,,,,,,,,,,,
,COL00015,,,,,,,,,DHARMA,CC0,COL00015,,,,,,,,,,,
,COL00016,,,,,,,,,DHARMA,CC0,COL00016,,,,,,,,,,,
,COL00017,,,,,,,,,DHARMA,CC0,COL00017,,,,,,,,,,,
,COL00018,,,,,,,,,DHARMA,CC0,COL00018,,,,,,,,,,,
,COL00019,,,,,,,,,DHARMA,CC0,COL00019,,,,,,,,,,,
,COL00020,,,,,,,,,DHARMA,CC0,COL00020,,,,,,,,,,,
,COL00021,,,,,,,,,DHARMA,CC0,COL00021,,,,,,,,,,,
,COL00022,,,,,,,,,DHARMA,CC0,COL00022,,,,,,,,,,,
,COL00023,,,,,,,,,DHARMA,CC0,COL00023,,,,,,,,,,,
,COL00024,,,,,,,,,DHARMA,CC0,COL00024,,,,,,,,,,,
,COL00025,,,,,,,,,DHARMA,CC0,COL00025,,,,,,,,,,,
,COL00026,,,,,,,,,DHARMA,CC0,COL00026,,,,,,,,,,,
,COL00027,,,,,,,,,DHARMA,CC0,COL00027,,,,,,,,,,,
,COL00028,,,,,,,,,DHARMA,CC0,COL00028,,,,,,,,,,,
,COL00029,,,,,,,,,DHARMA,CC0,COL00029,,,,,,,,,,,
,COL00030,,,,,,,,,DHARMA,CC0,COL00030,,,,,,,,,,,
,COL00031,,,,,,,,,DHARMA,CC0,COL00031,,,,,,,,,,,
,COL00032,,,,,,,,,DHARMA,CC0,COL00032,,,,,,,,,,,
,COL00033,,,,,,,,,DHARMA,CC0,COL00033,,,,,,,,,,,
,COL00034,,,,,,,,,DHARMA,CC0,COL00034,,,,,,,,,,,
,COL00035,,,,,,,,,DHARMA,CC0,COL00035,,,,,,,,,,,
,COL00036,,,,,,,,,DHARMA,CC0,COL00036,,,,,,,,,,,
,COL00037,,,,,,,,,DHARMA,CC0,COL00037,,,,,,,,,,,
,COL00038,,,,,,,,,DHARMA,CC0,COL00038,,,,,,,,,,,
,COL00039,,,,,,,,,DHARMA,CC0,COL00039,,,,,,,,,,,
,COL00040,,,,,,,,,DHARMA,CC0,COL00040,,,,,,,,,,,
