Fields group,Management of the resource,,,,,,,,,,,Authority list of monuments,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Monument dimensions,,,,,,,,,,Location,,,,,Rights,,,
Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the monument,Name of the monument,Language,Name of the monument,Monument type 1,Monument type 2,Material type 1,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Condition,Date (notBefore),Date (notAfter),History of the monument,Remarks,Name of the place,Place ID,Location coordinates (latitude),Location coordinates (longitude),Inventory number,Governmental rights holder,Institution or private person,Distribution rights of the artefact,Bibliographical references
Description of the fields,"Identifier of the monument. 
 Syntax: MON00001",Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the monument. 
 Syntax: MON00001",Name of the monument,Define the language of the name,Normalized syntax,Monument type,Monument type,Material type,Material type,Iconography and/or decoration observed on the monument (free text),Global height,Global width,Global depth,Global diameter,Global circumference,State of preservation of the monument,Gregorian calendar,Gregorian calendar,Description of what is known or recorded about the origin and subsequent history of the monument (free text),Remarks on monument-related metadata (free text),,ID of the place (from places' authority list),Coordindates if you have a specific topographic data,Coordindates if you have a specific topographic data,Inventory number(s) of the monument,The governmental holder of (property) rights to the monument,Institution or private person authorizing access to the monument,Licence applicable to the monument,
,MON01000,,,,,,,,,DHARMA,CC0,MON01000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01001,,,,,,,,,DHARMA,CC0,MON01001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01002,,,,,,,,,DHARMA,CC0,MON01002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01003,,,,,,,,,DHARMA,CC0,MON01003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01004,,,,,,,,,DHARMA,CC0,MON01004,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01005,,,,,,,,,DHARMA,CC0,MON01005,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01006,,,,,,,,,DHARMA,CC0,MON01006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01007,,,,,,,,,DHARMA,CC0,MON01007,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01008,,,,,,,,,DHARMA,CC0,MON01008,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01009,,,,,,,,,DHARMA,CC0,MON01009,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01010,,,,,,,,,DHARMA,CC0,MON01010,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01011,,,,,,,,,DHARMA,CC0,MON01011,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01012,,,,,,,,,DHARMA,CC0,MON01012,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01013,,,,,,,,,DHARMA,CC0,MON01013,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01014,,,,,,,,,DHARMA,CC0,MON01014,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01015,,,,,,,,,DHARMA,CC0,MON01015,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01016,,,,,,,,,DHARMA,CC0,MON01016,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01017,,,,,,,,,DHARMA,CC0,MON01017,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01018,,,,,,,,,DHARMA,CC0,MON01018,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01019,,,,,,,,,DHARMA,CC0,MON01019,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01020,,,,,,,,,DHARMA,CC0,MON01020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01021,,,,,,,,,DHARMA,CC0,MON01021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON01022,,,,,,,,,DHARMA,CC0,MON01022,,,,,,,,,,,,,,,,,,,,,,,,,,,
